"","V1","V2","V3","V4","V5"
"1",0.0273165506159614,0.700053561863953,0.152651312265667,0.0787359400107124,0.0412426352437065
"2",0.234567901234568,0.197530864197531,0.172839506172839,0.234567901234568,0.160493827160494
"3",0.0387096774193548,0.143778801843318,0.662672811059908,0.0857142857142857,0.0691244239631336
"4",0.065564738292011,0.160330578512397,0.434710743801653,0.170247933884298,0.169146005509642
"5",0.116345759934453,0.588283490372798,0.150348217943466,0.11102007374027,0.0340024580090127
"6",0.0530660377358491,0.0625,0.233490566037736,0.123820754716981,0.527122641509434
"7",0.845890410958904,0.0376712328767123,0.0410958904109589,0.0376712328767123,0.0376712328767123
"8",0.0969267139479905,0.138297872340426,0.278959810874705,0.125295508274232,0.360520094562648
"9",0.067258883248731,0.156091370558376,0.279187817258883,0.118020304568528,0.379441624365482
"10",0.200754005655042,0.0721017907634307,0.557964184731386,0.0796418473138549,0.0895381715362865
"11",0.587625814091178,0.0944345766725873,0.261693309650681,0.0378922439313203,0.0183540556542333
"12",0.0760626398210291,0.0850111856823266,0.239373601789709,0.52572706935123,0.0738255033557047
"13",0.143895348837209,0.181686046511628,0.170058139534884,0.436046511627907,0.0683139534883721
"14",0.0537897310513447,0.0831295843520782,0.295843520782396,0.509779951100245,0.0574572127139364
"15",0.0660569105691057,0.142276422764228,0.148373983739837,0.120934959349594,0.522357723577236
"16",0.0290322580645161,0.620430107526882,0.163440860215054,0.118279569892473,0.0688172043010753
"17",0.0278796771826853,0.525311812179017,0.277329420396185,0.107116654438738,0.0623624358033749
"18",0.0509803921568627,0.145098039215686,0.633986928104575,0.134640522875817,0.0352941176470588
"19",0.457233368532207,0.1129883843717,0.214361140443506,0.129883843717001,0.0855332629355861
"20",0.493670886075949,0.0938818565400844,0.14873417721519,0.168776371308017,0.0949367088607595
"21",0.0627687016337059,0.460877042132416,0.257093723129837,0.124677558039553,0.0945829750644884
"22",0.0606435643564356,0.158415841584158,0.36509900990099,0.0891089108910891,0.326732673267327
"23",0.65865992414665,0.0897597977243995,0.0758533501896334,0.04551201011378,0.130214917825537
"24",0.303370786516854,0.235955056179775,0.157303370786517,0.134831460674157,0.168539325842697
"25",0.563636363636364,0.0693181818181818,0.0704545454545455,0.0954545454545455,0.201136363636364
"26",0.0684150513112885,0.0752565564424173,0.187001140250855,0.59521094640821,0.0741163055872292
"27",0.0502857142857143,0.202285714285714,0.171428571428571,0.138285714285714,0.437714285714286
"28",0.0465393794749403,0.130071599045346,0.241646778042959,0.563842482100239,0.0178997613365155
"29",0.0504334121355398,0.0803782505910166,0.175728920409771,0.652482269503546,0.0409771473601261
"30",0.110248447204969,0.203416149068323,0.277950310559006,0.0714285714285714,0.33695652173913
"31",0.0548245614035088,0.143640350877193,0.198464912280702,0.121710526315789,0.481359649122807
